"determiner","target_object1","figure","ExpFiller","correctAns1","object1","prime","target2","location3","location5","Prime","display_type","list","correctAns2","location4","size","workerid","object3","condition","target_figure3","instruction1","response","Res_object","condition1","location1","Answer.condition","target_object3","location10","Answer.time_in_minutes","instruction3","location6","object4","location9","location8","target1","size1","determiner1","displayID","response_times","competitor2","location7","location2","competitor1","object2","target_figure1","Intro_object","setting","speaker_cond"
"one","","Amy's","Filler","AOI2","","",8,"3_plates","2_spoons","BoyOneAmySpoons","33-33",1,"AOI8","3_knives","small",0,"","one","boy","","['AOI8', 'AOI8', 'AOI8', 'AOI8']","","","3_forks","undefined","1_spoon","girl",6.97601666666667,"Click on the boy that has one of Amy's spoons","0","","girl","boy",2,"","",39,"[2255, 2984, 4260, 4889]",7,"boy","1_spoon",1,"","","","kitchenwares","list1"
"two","","Michael's","Exp","AOI3","","",9,"2_rulers","1_ruler","GirlTwoMichaelRulers","33-33",1,"AOI9","3_erasers","small",0,"","num","girl","","['AOI9', 'AOI9', 'AOI9', 'AOI9']","","","3_pencils","undefined","2_rulers","girl",6.97601666666667,"Click on the girl that has two of Michael's rulers","1_scissor","","girl","boy",3,"","",9,"[956, 1776, 3097, 3945]",10,"boy","2_scissors",4,"","","","stationeries","list1"
"one","","Michael's","Filler","AOI2","","",8,"3_pencils","2_scissors","BoyOneMichaelRulers","33-33",1,"AOI8","3_scissors","small",0,"","one","boy","","['AOI10', 'AOI7', 'AOI8', 'AOI8']","","","3_erasers","undefined","1_ruler","girl",6.97601666666667,"Click on the boy that has one of Michael's rulers","0","","girl","boy",2,"","",40,"[1714, 3813, 5258, 6186]",7,"boy","1_ruler",1,"","","","stationeries","list1"
"all","","Amy's","Exp","AOI4","","",10,"3_knives","1_spoon","GirlAllAmyPlates","44-22",1,"AOI10","2_plates","small",0,"","all","girl","","['AOI7', 'AOI9', 'AOI10', 'AOI10']","","","3_spoons","undefined","2_plates","girl",6.97601666666667,"Click on the girl that has all of Amy's plates","1_knife","","girl","boy",4,"","",35,"[1268, 2590, 4343, 5133]",9,"boy","2_forks",3,"","","","kitchenwares","list1"
"four","","Michael's","Filler","AOI4","","",10,"3_scissors","1_ruler","GirlFourMichaelPencils","44-22",1,"AOI10","4_pencils","big",0,"","four","girl","","['AOI8', 'AOI10', 'AOI10', 'AOI10']","","","1_ruler","undefined","4_pencils","girl",6.97601666666667,"Click on the girl that has four of Michael's pencils","1_scissor","","girl","boy",4,"","",48,"[3212, 4510, 5793, 6578]",9,"boy","2_erasers",3,"","","","stationeries","list1"
"four","","Amy's","Filler","AOI4","","",10,"2_spoons","1_knife","GirlFourAmyPlates","44-22",1,"AOI10","4_plates","big",0,"","four","girl","","['AOI7', 'AOI9', 'AOI10', 'AOI10']","","","1_knife","undefined","4_plates","girl",6.97601666666667,"Click on the girl that has four of Amy's plates","1_fork","","girl","boy",4,"","",47,"[1623, 2931, 4191, 4966]",9,"boy","3_forks",3,"","","","kitchenwares","list1"
"two","","Michael's","Exp","AOI2","","",8,"2_erasers","1_ruler","BoyTwoMichaelPencils","44-22",1,"AOI8","3_rulers","small",0,"","num","boy","","['AOI7', 'AOI7', 'AOI8', 'AOI8']","","","3_scissors","undefined","2_pencils","girl",6.97601666666667,"Click on the boy that has two of Michael's pencils","1_scissor","","girl","boy",2,"","",28,"[1868, 2589, 3697, 4441]",7,"boy","2_pencils",1,"","","","stationeries","list1"
"some","","Michael's","Exp","AOI2","","",8,"2_pencils","1_pencil","BoySomeMichaelScissors","33-33",1,"AOI8","3_erasers","small",0,"","some","boy","","['AOI7', 'AOI7', 'AOI7', 'AOI8']","","","3_rulers","undefined","2_scissors","girl",6.97601666666667,"Click on the boy that has some of Michael's scissors","1_scissor","","girl","boy",2,"","",12,"[1890, 2565, 4109, 5672]",7,"boy","2_scissors",1,"","","","stationeries","list1"
"four","","Susan's","Filler","AOI2","","",8,"3_pears","1_orange","BoyFourSusanBananas","44-22",1,"AOI8","2_apples","big",0,"","four","boy","","['AOI7', 'AOI7', 'AOI8', 'AOI8']","","","1_orange","undefined","4_bananas","girl",6.97601666666667,"Click on the boy that has four of Susan's bananas","1_pear","","girl","boy",2,"","",44,"[2688, 3824, 4986, 5682]",7,"boy","4_bananas",1,"","","","fruit","list1"
"some","","Amy's","Exp","AOI3","","",9,"3_forks","1_fork","GirlSomeAmyForks","44-22",1,"AOI9","2_knives","big",0,"","some","girl","","['AOI9', 'AOI9', 'AOI9', 'AOI9']","","","2_spoons","undefined","3_forks","girl",6.97601666666667,"Click on the girl that has some of Amy's forks","1_plate","","girl","boy",3,"","",34,"[1786, 2474, 4351, 4995]",10,"boy","3_plates",4,"","","","kitchenwares","list1"
"four","","Michael's","Filler","AOI1","","",7,"2_rulers","1_pencil","BoyFourMichaelScissors","44-22",1,"AOI7","3_erasers","big",0,"","four","boy","","['AOI10', 'AOI8', 'AOI7', 'AOI7']","","","4_scissors","undefined","4_scissors","girl",6.97601666666667,"Click on the boy that has four of Michael's scissors","1_eraser","","girl","boy",1,"","",43,"[1586, 2984, 4014, 4804]",8,"boy","1_pencil",2,"","","","stationeries","list1"
"one","","Susan's","Filler","AOI1","","",7,"3_bananas","2_apples","BoyOneSusanApples","33-33",1,"AOI7","3_oranges","small",0,"","one","boy","","['AOI8', 'AOI8', 'AOI7', 'AOI7']","","","1_apple","undefined","1_apple","girl",6.97601666666667,"Click on the boy that has one of Susan's apples","0","","girl","boy",1,"","",37,"[2254, 2981, 4899, 5680]",8,"boy","3_pears",2,"","","","fruit","list1"
"all","","Susan's","Exp","AOI2","","",8,"2_bananas","1_apple","BoyAllSusanPears","33-33",1,"AOI8","3_oranges","big",0,"","all","boy","","['AOI9', 'AOI8', 'AOI8', 'AOI8']","","","2_apples","undefined","3_pears","girl",6.97601666666667,"Click on the boy that has all of Susan's pears","1_banana","","girl","boy",2,"","",3,"[1824, 3275, 4689, 5810]",7,"boy","3_pears",1,"","","","fruit","list1"
"all","","Amy's","Exp","AOI3","","",9,"2_spoons","1_plate","GirlAllAmySpoons","44-22",1,"AOI9","3_forks","small",0,"","all","girl","","['AOI10', 'AOI10', 'AOI9', 'AOI9']","","","3_plates","undefined","2_spoons","girl",6.97601666666667,"Click on the girl that has all of Amy's spoons","1_fork","","girl","boy",3,"","",36,"[1531, 2283, 4560, 5212]",10,"boy","2_knives",4,"","","","kitchenwares","list1"
"some","","Susan's","Exp","AOI4","","",10,"2_pears","1_banana","GirlSomeSusanBananas","44-22",1,"AOI10","3_bananas","big",0,"","some","girl","","['AOI10', 'AOI10', 'AOI10', 'AOI10']","","","3_oranges","undefined","3_bananas","girl",6.97601666666667,"Click on the girl that has some of Susan's bananas","1_orange","","girl","boy",4,"","",19,"[1836, 2644, 4459, 5080]",9,"boy","2_apples",3,"","","","fruit","list1"
"three","","Susan's","Exp","AOI3","","",9,"3_oranges","1_apple","GirlThreeSusanOranges","44-22",1,"AOI9","2_bananas","big",0,"","num","girl","","['AOI7', 'AOI9', 'AOI9', 'AOI9']","","","3_apples","undefined","3_oranges","girl",6.97601666666667,"Click on the girl that has three of Susan's oranges","1_orange","","girl","boy",3,"","",23,"[1165, 2587, 4092, 4876]",10,"boy","2_pears",4,"","","","fruit","list1"
"some","","Susan's","Exp","AOI3","","",9,"3_apples","1_apple","GirlSomeSusanApples","44-22",1,"AOI9","2_oranges","big",0,"","some","girl","","['AOI7', 'AOI10', 'AOI10', 'AOI10']","","","3_pears","undefined","3_apples","girl",6.97601666666667,"Click on the girl that has some of Susan's apples","1_pear","","girl","boy",3,"","",20,"[1575, 3443, 3489, 3780]",10,"boy","2_bananas",4,"","","","fruit","list1"
"all","","Susan's","Exp","AOI2","","",8,"3_apples","1_apple","BoyAllSusanOranges","44-22",1,"AOI8","2_pears","small",0,"","all","boy","","['AOI9', 'AOI7', 'AOI8', 'AOI8']","","","3_bananas","undefined","2_oranges","girl",6.97601666666667,"Click on the boy that has all of Susan's oranges","1_banana","","girl","boy",2,"","",21,"[1727, 4478, 5793, 6544]",7,"boy","2_oranges",1,"","","","fruit","list1"
"some","","Michael's","Exp","AOI4","","",10,"2_scissors","1_ruler","GirlSomeMichaelRulers","44-22",1,"AOI10","3_rulers","big",0,"","some","girl","","['AOI9', 'AOI9', 'AOI10', 'AOI10']","","","3_erasers","undefined","3_rulers","girl",6.97601666666667,"Click on the girl that has some of Michael's rulers","1_eraser","","girl","boy",4,"","",30,"[1506, 2367, 4303, 4342]",9,"boy","2_pencils",3,"","","","stationeries","list1"
"some","","Susan's","Exp","AOI1","","",7,"2_apples","1_apple","BoySomeSusanPears","33-33",1,"AOI7","3_oranges","small",0,"","some","boy","","['AOI10', 'AOI8', 'AOI7', 'AOI7']","","","2_pears","undefined","2_pears","girl",6.97601666666667,"Click on the boy that has some of Susan's pears","1_pear","","girl","boy",1,"","",1,"[294, 1726, 4778, 5775]",8,"boy","3_bananas",2,"","","","fruit","list1"
"","2_apples","Susan","Prac","AOI1","apples","BoySomeSusanapples",NA,"2_pears","1_apple","","33-33",NA,"AOI7","3_oranges","",1,"D3_bananas","","","Click on the boy that has some of Susan's apples","['AOI7', 'AOI7', 'AOI7', 'AOI7']","Fruit_residue","some","2_apples","undefined","","girl",5.5356,"","1_pear","D3_oranges","girl","boy",1,"small","some",1,"",NA,"boy","3_bananas",2,"D3_pears","boy","Fruit_Susan_Monday","fruit","list1"
"","2_pears","Susan","Prac","AOI2","pears","BoyAllSusanpears",NA,"3_apples","1_apple","","44-22",NA,"AOI8","2_oranges","",1,"D4_bananas","","","Click on the boy that has all of Susan's pears","['AOI8', 'AOI8', 'AOI8', 'AOI8']","Slience","all","3_bananas","undefined","","girl",5.5356,"","1_banana","D2_oranges","girl","boy",2,"small","all",2,"",NA,"boy","2_pears",1,"D2_pears","boy","Fruit_Susan_Tuesday","fruit","list1"
"","3_erasers","Michael","Prac","AOI3","erasers","GirlAllMichaelerasers",NA,"3_erasers","1_pencil","","33-33",NA,"AOI9","2_rulers","",1,"D3_erasers","","","Click on the girl that has all of Michael's erasers","['AOI9', 'AOI9', 'AOI9', 'AOI9']","Residue_stationary","all","3_scissors","undefined","","girl",5.5356,"","1_ruler","D3_rulers","girl","boy",3,"big","all",3,"",NA,"boy","2_pencils",4,"D3_pencils","girl","Stationary_Michael_Monday","office supplies","list1"
"","2_rulers","Michael","Prac","AOI4","rulers","GirlTwoMichaelrulers",NA,"3_erasers","1_pencil","","44-22",NA,"AOI10","2_rulers","",1,"D4_erasers","","","Click on the girl that has two of Michael's rulers","['AOI10', 'AOI10', 'AOI10', 'AOI10']","Residue_stationary","num","3_pencils","undefined","","girl",5.5356,"","1_eraser","D2_rulers","girl","boy",4,"small","two",4,"",NA,"boy","2_scissors",3,"D4_pencils","girl","Stationary_Michael_Tuesday","office supplies","list1"
"","3_spoons","Amy","Prac","AOI1","spoons","BoyThreeAmyspoons",NA,"3_plates","1_fork","","33-33",NA,"AOI7","2_forks","",1,"D3_spoons","","","Click on the boy that has three of Amy's spoons","['AOI8', 'AOI8', 'AOI8', 'AOI7']","Slience","num","3_spoons","undefined","","girl",5.5356,"","1_knife","D3_knives","girl","boy",1,"big","three",5,"",NA,"boy","2_knives",2,"D3_forks","boy","kitchware_Amy_Tuesday","kitchenwares","list1"
"","3_knives","Amy","Prac","AOI3","knives","GirlSomeAmyknives",NA,"3_knives","1_fork","","44-22",NA,"AOI9","2_plates","",1,"D2_spoons","","","Click on the girl that has some of Amy's knives","['AOI10', 'AOI10', 'AOI10', 'AOI9']","Residue_kitchen","some","2_spoons","undefined","","girl",5.5356,"","1_knife","D4_knives","girl","boy",3,"big","some",6,"",NA,"boy","3_forks",4,"D4_forks","girl","kitchware_Amy_Monday","kitchenwares","list1"
"some","","Michael's","Exp","AOI1","","",7,"3_scissors","1_pencil","BoySomeMichaelPencils","44-22",1,"AOI7","2_rulers","big",1,"","some","boy","","['AOI7', 'AOI7', 'AOI7', 'AOI7']","","","3_pencils","undefined","3_pencils","girl",5.5356,"Click on the boy that has some of Michael's pencils","1_scissor","","girl","boy",1,"","",29,"[1469, 2170, 3156, 5388]",8,"boy","2_erasers",2,"","","","stationeries","list1"
"two","","Amy's","Exp","AOI1","","",7,"3_forks","1_fork","BoyTwoAmySpoons","44-22",1,"AOI7","2_plates","small",1,"","num","boy","","['AOI7', 'AOI7', 'AOI7', 'AOI7']","","","2_spoons","undefined","2_spoons","girl",5.5356,"Click on the boy that has two of Amy's spoons","1_knife","","girl","boy",1,"","",32,"[1222, 1855, 3896, 4390]",8,"boy","3_knives",2,"","","","kitchenwares","list1"
