"fairprice","problems","gender","age","workerid","language","comments","asses","education","enjoyment","speaker_cond"
"2.00","None at all. ","Male",60,78,"English","Thank you very much. I enjoyed this hit. ","Yes",3,2,"list2"
"good","no","Female",25,79,"english","good","Yes",3,2,"list2"
"1.70","no issues","Male",28,80,"english","","Yes",1,2,"list3"
"yes","no","Male",26,81,"english","very interesting to do this experiment. i am enjoy doing this experiment","Yes",2,2,"list3"
"yes","no","Male",36,82,"english","Thank you!","Yes",3,1,"list3"
"50","no","Male",28,83,"english","good","Yes",3,1,"list3"
"1.70","","Male",44,84,"English","","Yes",3,2,"list3"
"2.50","","Female",37,85,"english","","Yes",3,2,"list3"
"1.75","","Male",23,86,"English","","Yes",1,1,"list3"
"1.70","no","Male",45,87,"english","","Yes",3,2,"list3"
"Yes","No","Male",28,88,"English","","Yes",1,1,"list3"
"3","","Male",33,89,"English","","Yes",3,2,"list3"
"1.00","no","Male",56,90,"english","","Yes",2,1,"list3"
"","","",NA,91,"","","Yes",-1,-1,"list3"
"1.50",NA,"Male",33,92,"English","Great study!","Yes",3,2,"list3"
"1.70","no","Male",38,93,"English","Thank You !","Yes",2,2,"list3"
"1.5","","Male",45,94,"English ","very innovative and interactive study ","Yes",3,2,"list3"
"1.70","Sometimes it was not registering my clicks resulting in some of my clicks not being the one I wanted.","Male",36,95,"English","Thank you for the opportunity!","Yes",2,2,"list3"
"1","no","Male",33,96,"english","I thought it was fair, a little repetitive.","No",3,2,"list3"
"2","no","Female",26,97,"english","interesting","Yes",3,1,"list3"
"2.00","","Male",28,98,"English","","Yes",2,1,"list3"
"2.00","no","Female",32,99,"english","no","Yes",2,2,"list3"
"2","","Male",38,100,"english","","Yes",2,2,"list3"
"2","none","Male",58,101,"English","none","Yes",3,1,"list3"
"2.00","none.","Male",22,102,"english","gimme more","Yes",1,2,"list3"
"1.70","none","Female",68,103,"english","none","Yes",1,2,"list3"
"YES","NO","Female",34,104,"ENGLISH","GOOD","Yes",3,2,"list3"
"2","no","Female",30,105,"english","","Yes",3,2,"list3"
"2","none","Male",38,106,"English","none","Yes",3,2,"list3"
"1.50","I messed up on one click about 3 trials back but all the rest were accurate.","Male",33,92,"English","Great study!","Yes",3,2,"list3"
"$2","Newp. Went off like silk on glass.","Male",35,107,"english","I can't even imagine what you hope to learn with this study.","Yes",2,2,"list3"
"1.7","None","Male",37,108,"English","Thanks for the opportunity to participate!","Yes",1,2,"list3"
"yes","none","Other",42,109,"english","none","No",2,2,"list3"
"2","Yeah it reloaded and restarted after like 20% but completed just as before","Male",34,110,"English","","Yes",3,2,"list3"
"2","no issues","Male",57,111,"english","thanks to allow me to take this experiment","Yes",3,2,"list3"
"Yes","None","Male",27,112,"English","Hit was easy to understand and complete. Also paid great for the time it took to complete. ","Yes",2,2,"list3"
"1.7","I was just a bit confused at first since I thought I had to be listening to something based on the title of the hit. No issues after I figured that out though.","Female",32,113,"English","","Yes",3,2,"list3"
"2","no","Male",26,114,"english","interesting","Yes",3,1,"list3"
"yes","none","Female",43,115,"english","","Yes",1,2,"list3"
"No","No","Female",28,116,"english","","No",2,1,"list3"
"yes","no","Male",42,117,"english","no","Yes",3,2,"list3"
"barely","No.","Female",61,118,"English","It was a fun, easy HIT, but slightly underpaid. Thank you!","Yes",3,2,"list3"
